PassengerId,Age,Fare,Pclass,Familysize,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,Survived
1,22.0,7.25,3,1,0,0,1,0,1,0
2,38.0,71.2833,1,1,1,0,0,1,0,1
3,26.0,7.925,3,0,0,0,1,1,0,1
4,35.0,53.1,1,1,0,0,1,1,0,1
5,35.0,8.05,3,0,0,0,1,0,1,0
6,28.0,8.4583,3,0,0,1,0,0,1,0
7,54.0,51.8625,1,0,0,0,1,0,1,0
8,2.0,21.075,3,4,0,0,1,0,1,0
9,27.0,11.1333,3,2,0,0,1,1,0,1
10,14.0,30.0708,2,1,1,0,0,1,0,1
11,4.0,16.7,3,2,0,0,1,1,0,1
12,58.0,26.55,1,0,0,0,1,1,0,1
13,20.0,8.05,3,0,0,0,1,0,1,0
14,39.0,31.275,3,6,0,0,1,0,1,0
15,14.0,7.8542,3,0,0,0,1,1,0,0
16,55.0,16.0,2,0,0,0,1,1,0,1
17,2.0,29.125,3,5,0,1,0,0,1,0
18,28.0,13.0,2,0,0,0,1,0,1,1
19,31.0,18.0,3,1,0,0,1,1,0,0
20,28.0,7.225,3,0,1,0,0,1,0,1
21,35.0,26.0,2,0,0,0,1,0,1,0
22,34.0,13.0,2,0,0,0,1,0,1,1
23,15.0,8.0292,3,0,0,1,0,1,0,1
24,28.0,35.5,1,0,0,0,1,0,1,1
25,8.0,21.075,3,4,0,0,1,1,0,0
26,38.0,31.3875,3,6,0,0,1,1,0,1
27,28.0,7.225,3,0,1,0,0,0,1,0
28,19.0,263.0,1,5,0,0,1,0,1,0
29,28.0,7.8792,3,0,0,1,0,1,0,1
30,28.0,7.8958,3,0,0,0,1,0,1,0
31,40.0,27.7208,1,0,1,0,0,0,1,0
32,28.0,146.5208,1,1,1,0,0,1,0,1
33,28.0,7.75,3,0,0,1,0,1,0,1
34,66.0,10.5,2,0,0,0,1,0,1,0
35,28.0,82.1708,1,1,1,0,0,0,1,0
36,42.0,52.0,1,1,0,0,1,0,1,0
37,28.0,7.2292,3,0,1,0,0,0,1,1
38,21.0,8.05,3,0,0,0,1,0,1,0
39,18.0,18.0,3,2,0,0,1,1,0,0
40,14.0,11.2417,3,1,1,0,0,1,0,1
41,40.0,9.475,3,1,0,0,1,1,0,0
42,27.0,21.0,2,1,0,0,1,1,0,0
43,28.0,7.8958,3,0,1,0,0,0,1,0
44,3.0,41.5792,2,3,1,0,0,1,0,1
45,19.0,7.8792,3,0,0,1,0,1,0,1
46,28.0,8.05,3,0,0,0,1,0,1,0
47,28.0,15.5,3,1,0,1,0,0,1,0
48,28.0,7.75,3,0,0,1,0,1,0,1
49,28.0,21.6792,3,2,1,0,0,0,1,0
50,18.0,17.8,3,1,0,0,1,1,0,0
51,7.0,39.6875,3,5,0,0,1,0,1,0
52,21.0,7.8,3,0,0,0,1,0,1,0
53,49.0,76.7292,1,1,1,0,0,1,0,1
54,29.0,26.0,2,1,0,0,1,1,0,1
55,65.0,61.9792,1,1,1,0,0,0,1,0
56,28.0,35.5,1,0,0,0,1,0,1,1
57,21.0,10.5,2,0,0,0,1,1,0,1
58,28.5,7.2292,3,0,1,0,0,0,1,0
59,5.0,27.75,2,3,0,0,1,1,0,1
60,11.0,46.9,3,7,0,0,1,0,1,0
61,22.0,7.2292,3,0,1,0,0,0,1,0
62,38.0,80.0,1,0,0,0,1,1,0,1
63,45.0,83.475,1,1,0,0,1,0,1,0
64,4.0,27.9,3,5,0,0,1,0,1,0
65,28.0,27.7208,1,0,1,0,0,0,1,0
66,28.0,15.2458,3,2,1,0,0,0,1,1
67,29.0,10.5,2,0,0,0,1,1,0,1
68,19.0,8.1583,3,0,0,0,1,0,1,0
69,17.0,7.925,3,6,0,0,1,1,0,1
70,26.0,8.6625,3,2,0,0,1,0,1,0
71,32.0,10.5,2,0,0,0,1,0,1,0
72,16.0,46.9,3,7,0,0,1,1,0,0
73,21.0,73.5,2,0,0,0,1,0,1,0
74,26.0,14.4542,3,1,1,0,0,0,1,0
75,32.0,56.4958,3,0,0,0,1,0,1,1
76,25.0,7.65,3,0,0,0,1,0,1,0
77,28.0,7.8958,3,0,0,0,1,0,1,0
78,28.0,8.05,3,0,0,0,1,0,1,0
79,0.83,29.0,2,2,0,0,1,0,1,1
80,30.0,12.475,3,0,0,0,1,1,0,1
81,22.0,9.0,3,0,0,0,1,0,1,0
82,29.0,9.5,3,0,0,0,1,0,1,1
83,28.0,7.7875,3,0,0,1,0,1,0,1
84,28.0,47.1,1,0,0,0,1,0,1,0
85,17.0,10.5,2,0,0,0,1,1,0,1
86,33.0,15.85,3,3,0,0,1,1,0,1
87,16.0,34.375,3,4,0,0,1,0,1,0
88,28.0,8.05,3,0,0,0,1,0,1,0
89,23.0,263.0,1,5,0,0,1,1,0,1
90,24.0,8.05,3,0,0,0,1,0,1,0
91,29.0,8.05,3,0,0,0,1,0,1,0
92,20.0,7.8542,3,0,0,0,1,0,1,0
93,46.0,61.175,1,1,0,0,1,0,1,0
94,26.0,20.575,3,3,0,0,1,0,1,0
95,59.0,7.25,3,0,0,0,1,0,1,0
96,28.0,8.05,3,0,0,0,1,0,1,0
97,71.0,34.6542,1,0,1,0,0,0,1,0
98,23.0,63.3583,1,1,1,0,0,0,1,1
99,34.0,23.0,2,1,0,0,1,1,0,1
100,34.0,26.0,2,1,0,0,1,0,1,0
101,28.0,7.8958,3,0,0,0,1,1,0,0
102,28.0,7.8958,3,0,0,0,1,0,1,0
103,21.0,77.2875,1,1,0,0,1,0,1,0
104,33.0,8.6542,3,0,0,0,1,0,1,0
105,37.0,7.925,3,2,0,0,1,0,1,0
106,28.0,7.8958,3,0,0,0,1,0,1,0
107,21.0,7.65,3,0,0,0,1,1,0,1
108,28.0,7.775,3,0,0,0,1,0,1,1
109,38.0,7.8958,3,0,0,0,1,0,1,0
110,28.0,24.15,3,1,0,1,0,1,0,1
111,47.0,52.0,1,0,0,0,1,0,1,0
112,14.5,14.4542,3,1,1,0,0,1,0,0
113,22.0,8.05,3,0,0,0,1,0,1,0
114,20.0,9.825,3,1,0,0,1,1,0,0
115,17.0,14.4583,3,0,1,0,0,1,0,0
116,21.0,7.925,3,0,0,0,1,0,1,0
117,70.5,7.75,3,0,0,1,0,0,1,0
118,29.0,21.0,2,1,0,0,1,0,1,0
119,24.0,247.5208,1,1,1,0,0,0,1,0
120,2.0,31.275,3,6,0,0,1,1,0,0
121,21.0,73.5,2,2,0,0,1,0,1,0
122,28.0,8.05,3,0,0,0,1,0,1,0
123,32.5,30.0708,2,1,1,0,0,0,1,0
124,32.5,13.0,2,0,0,0,1,1,0,1
125,54.0,77.2875,1,1,0,0,1,0,1,0
126,12.0,11.2417,3,1,1,0,0,0,1,1
127,28.0,7.75,3,0,0,1,0,0,1,0
128,24.0,7.1417,3,0,0,0,1,0,1,1
129,28.0,22.3583,3,2,1,0,0,1,0,1
130,45.0,6.975,3,0,0,0,1,0,1,0
131,33.0,7.8958,3,0,1,0,0,0,1,0
132,20.0,7.05,3,0,0,0,1,0,1,0
133,47.0,14.5,3,1,0,0,1,1,0,0
134,29.0,26.0,2,1,0,0,1,1,0,1
135,25.0,13.0,2,0,0,0,1,0,1,0
